,aspect,document,sentiment
2227,LAPTOP#GENERAL,LOVE IT!,positive
2228,LAPTOP#MISCELLANEOUS,NEEDS MORE INSTRUCTIONS WITH IT,negative
2229,LAPTOP#GENERAL,"I'm very happy with my Acer, it does just for what I need it.",positive
2230,MULTIMEDIA_DEVICES#QUALITY,Even the sound is fantastic,positive
2231,LAPTOP#GENERAL,I love this laptop.,positive
2232,LAPTOP#DESIGN_FEATURES,Even my extremely tech savvy boyfriend was impressed with the features and sleek design.,positive
2233,LAPTOP#GENERAL,"Although I've had it for less than a week, I am very satisfied.",positive
2234,LAPTOP#OPERATION_PERFORMANCE,Functions well.,positive
2235,LAPTOP#GENERAL,Does all that was advertised.,positive
2236,LAPTOP#GENERAL,"If it had a 4,5 star option, that is what I would give.",positive
2237,LAPTOP#QUALITY,"The build is perfect, the screen fantastic, but I do have a bit of a problem with the fact that I have to buy adaptors for nearly everything, from vga cables to ethernet cables, so, almost perfect...",positive
2238,,I just bought this laptop yesterday.,
2239,,This is how I feel about the laptop so far:,
2240,DISPLAY#GENERAL,1.Great display.,positive
2241,DISPLAY#QUALITY,Love the color accuracy.,positive
2242,MULTIMEDIA_DEVICES#GENERAL,2.Very decent speakers.,positive
2243,LAPTOP#OPERATION_PERFORMANCE,3.Fairly fast.,positive
2244,FANS_COOLING#QUALITY,4.Loud fan when watching 4K video off YouTube.,negative
2245,FANS_COOLING#QUALITY,Sounds like a washer.,negative
2246,LAPTOP#QUALITY,Machine gets fairly hot near the bottom of the screen.,negative
2247,,5.Best to use the power supply for 4K video viewing.,
2248,LAPTOP#OPERATION_PERFORMANCE,Battery power laptop had difficulties computing.,negative
2249,LAPTOP#DESIGN_FEATURES,6.Still feels too heavy to me.,negative
2250,LAPTOP#DESIGN_FEATURES,Could lose another pound or two.,negative
2251,LAPTOP#PRICE,7.Expensive.,negative
2252,LAPTOP#PRICE,Paid close to $2800 out the door.,negative
2253,,There are too many things to test.,
2254,,Will update my review when I have time.,
2255,LAPTOP#QUALITY,Biggest piece of junk I have ever purchased.,negative
2256,,Bought it for my wife as a birthday present having owned a Dell in the past which was a great computer.,
2257,LAPTOP#OPERATION_PERFORMANCE,This clunker however stopped working after only two weeks of having it delivered.,negative
2258,LAPTOP#OPERATION_PERFORMANCE,It would have a full charge yet would turn itself off for no explainable reason after being on for 5 minutes.,negative
2259,,I promptly sent it back for an exchange thinking this was just a bad one and surely the next one would be fine.,
2260,LAPTOP#OPERATION_PERFORMANCE,"The second one, after a little over a month, refused to turn on even with a full charge.",negative
2261,,And I have pictures on there with no way to retrieve them!,
2262,LAPTOP#QUALITY,What a lemon!!,negative
2263,LAPTOP#GENERAL,This is a big disappointment.,negative
2264,LAPTOP#MISCELLANEOUS,"I only use a laptop for personal use, but this one can't even handle that!",negative
2265,LAPTOP#OPERATION_PERFORMANCE,It takes a long time to load any page.,negative
2266,LAPTOP#OPERATION_PERFORMANCE,I've had it for a minth and so far it's shut down completely 3 times.,negative
2267,,Had to call Dell to get it back online.,
2268,LAPTOP#GENERAL,"I have had Dell Desktops for years, so had no qualms about buying a Dell laptop.",negative
2269,,Never again.,
2270,COMPANY#GENERAL,I've always sworn by dell.,positive
2271,,My very first laptop was a dell and it never failed me.,
2272,,"It was stubborn as hell, no amount of dust or slipping to the ground phased it.",
2273,,It worked super fast and got the job done.,
2274,LAPTOP#DESIGN_FEATURES,"So with this new order, all the upgrades and windows 8 really caught my eye and I got this for the long haul.",positive
2275,LAPTOP#OPERATION_PERFORMANCE,I am not ultra tech savvy but I can tell when it works slow!,negative
2276,,All I needed this for was to do some typing and simple internet browsing and maybe watching netflix here and there.,
2277,LAPTOP#OPERATION_PERFORMANCE,I barely have any files or downloads and its almost impossible to get this thing to load.,negative
2278,,I know its not my internet connection because I have an HP as well and its like lightening even with the mass of data and info I have on it.,
2279,LAPTOP#GENERAL,I'm so disappointed.,negative
2280,,Disclaimer: I'm a Mac user.,
2281,,"I wanted to love this laptop, which I bought as a transitional laptop to use between jobs, before my new university gave me one.",
2282,POWER_SUPPLY#QUALITY,"In two months, both the power cord pin broke (the company replaced it) and then the CD drive literally jumped out of the laptop unannounced and shattered into a million pieces.",negative
2283,SOFTWARE#OPERATION_PERFORMANCE,"In addition, no matter what I do to change the settings, add/delete Flash, etc., Firefox hangs on start-up.",negative
2284,LAPTOP#DESIGN_FEATURES,It seems like Lenovo also makes weird choices about which side to put the powercord and other slots on.,negative
2285,LAPTOP#DESIGN_FEATURES,The cords always feel like they are in my way.,negative
2286,KEYBOARD#DESIGN_FEATURES,"One positive aspect of this laptop is the keyboard, which is larger than usual.",positive
2287,KEYBOARD#USABILITY,It's a pleasure to type on.,positive
2288,LAPTOP#MISCELLANEOUS,"My final thoughts: if you are a Mac user, stay away.",negative
2289,LAPTOP#PORTABILITY,"If you want to travel with this laptop, don't buy it.",negative
2290,LAPTOP#PORTABILITY,"It's clunky, heavy, and a pain to start up and shut down.",negative
2291,,"If you have zero dollars, consider it.",
2292,,"If you want ease of use and long-term happiness, buy a Macbook.",
2293,LAPTOP#MISCELLANEOUS,Great for games,positive
2294,LAPTOP#GENERAL,It's truly a great laptop for the price.,positive
2295,,I built my own gaming pc with a intel i5-4590 in it and a gtx 760 so I know what crazy performance on a computer can come to.,
2296,LAPTOP#MISCELLANEOUS,"However, this laptop far exceeded my expectations when I bought it for college, I only use Malwarebytes and Microsoft Security Essentials, run a virus scan maybe once a week and it has ran smoother than butter for the past two years.",positive
2297,LAPTOP#PRICE,"For $250, which is as much as my graphics card alone cost, this laptop is an incredible value.",positive
2298,LAPTOP#OPERATION_PERFORMANCE,"It is quite impressive at multitasking, which really surprised me.",positive
2299,LAPTOP#OPERATION_PERFORMANCE,I can have tabs open while playing YouTube videos and it handles it impressively well.,positive
2300,DISPLAY#GENERAL,"BUT I should tell you that this laptop does not have the best screen, it's certainly good enough for the average person, but if you're used to good screens this may bother you a bit, but it's certainly not unbearable by anyone's standards.",neutral
2301,LAPTOP#MISCELLANEOUS,"If you want to game, this thing can handle League of Legends on medium-low settings, but I certainly wouldn't recommend it for gaming.",negative
2302,LAPTOP#MISCELLANEOUS,"Overall, a great laptop for simply doing basic things and web-browsing.",positive
2303,LAPTOP#MISCELLANEOUS,"Would definitely recommend for those who are ""technologically ignorant""",positive
2304,LAPTOP#OPERATION_PERFORMANCE,this computer is very slow,negative
2305,LAPTOP#GENERAL,I love this laptop!,positive
2306,LAPTOP#GENERAL,It does everything I need it too!,positive
2307,LAPTOP#PRICE,Very good price.,positive
2308,LAPTOP#GENERAL,Very nice computer,positive
2309,MOUSE#GENERAL,Immediately didn't like the track buttons.,negative
2310,MOUSE#QUALITY,They are loud and clunky but I figured I'd get used to it.,negative
2311,,No need to.,
2312,LAPTOP#QUALITY,The laptop died two days after I received it.,negative
2313,LAPTOP#GENERAL,"I purchased a  Dell Inspiron I3531-1200BK and so far I love it, this model has a true life monitor, which is worth the extra bucks.",positive
2314,LAPTOP#MISCELLANEOUS,If you're looking for a basic PC this is the way to go.,positive
2315,LAPTOP#QUALITY,The hinges on this PC are nice and tight and well made like the rest of the PC.,positive
2316,LAPTOP#QUALITY,I was surprised  at  the overall quality and the price,positive
2317,LAPTOP#OPERATION_PERFORMANCE,"In all my life i have never come across a computer as slow as this one, it cant perform basic operations and is practically useless.",negative
2318,LAPTOP#OPERATION_PERFORMANCE,I just received the laptop and if it runs like this already cant imagine how it would work in the next couple of weeks.,negative
2319,LAPTOP#OPERATION_PERFORMANCE,It took almost 20 minutes to boot up.,negative
2320,LAPTOP#GENERAL,Please people dont make the same mistake i did.,negative
2321,LAPTOP#GENERAL,"This is a complete waste of money, dont let the price fool you!",negative
2322,LAPTOP#GENERAL,Would be a very nice laptop if the mousepad worked properly.,positive
2323,MOUSE#OPERATION_PERFORMANCE,It was not responsive at all to touch.,negative
2324,,Very frustrating.,
2325,MOUSE#OPERATION_PERFORMANCE,"And while tapping the mousepad to try to get it to work, your palm would inevitably touch the side which would pull up the side windows and block your ability to find the mouse.",negative
2326,LAPTOP#GENERAL,"If they can fix this, I think it would be a very nice, cost-effective laptop.",positive
2327,LAPTOP#QUALITY,This laptop broke within the first hour of use.,negative
2328,KEYBOARD#QUALITY,The 'A' key became jammed so that sometimes it wouldn't press in.,negative
2329,COMPANY#GENERAL,Dell claims they test each key with thousands of mechanical key strokes.,negative
2330,LAPTOP#QUALITY,"Also, after restarting the laptop it constantly made high pitched electronic noises.",negative
2331,LAPTOP#QUALITY,"I'm sure I just got a bad egg, but instead of getting a replacement I decided to try a different one.",negative
2332,LAPTOP#GENERAL,This laptop is nice.,positive
2333,LAPTOP#QUALITY,"It has a decent feel to it, sharp display and is fast enough.",neutral
2334,MOUSE#OPERATION_PERFORMANCE,The biggest problem I have is the right side and top of the touchpad is unresponsive.,negative
2335,,So frustrating!!,
2336,MOUSE#OPERATION_PERFORMANCE,"I have updated the drivers and tweeked every feature available, but nothing has helped.",negative
2337,MOUSE#OPERATION_PERFORMANCE,"Also, the touchpad is almost 'sticky', which kind of defeats the purpose of a touchpad.",negative
2338,LAPTOP#GENERAL,"I would love to keep this laptop, but will be sending it back and looking for a different brand.",negative
2339,COMPANY#GENERAL,No Lenovo for me.,negative
2340,LAPTOP#GENERAL,Initially I liked the product so much.,positive
2341,LAPTOP#OPERATION_PERFORMANCE,Although it was slow but I felt it was ok for the price you have bought it.,negative
2342,BATTERY#OPERATION_PERFORMANCE,But now I am having battery problems.,negative
2343,LAPTOP#OPERATION_PERFORMANCE,Laptop automatically shuts down when battery life reaches 30%.,negative
2344,,I bought this laptop in November 2013.,
2345,LAPTOP#GENERAL,I am not satisfied with the product.,negative
2346,LAPTOP#GENERAL,It's an amazing laptop.,positive
2347,LAPTOP#GENERAL,Most of the things about the laptop is awesome except the touchpad.,positive
2348,LAPTOP#OPERATION_PERFORMANCE,The laptop is fast.,positive
2349,OS#OPERATION_PERFORMANCE,The Windows 8.1 used to boot in just 2s and that was freaking awesome.,positive
2350,LAPTOP#OPERATION_PERFORMANCE,Now I have dual booted my laptop to Windows 8.1 and Ubuntu 14.04 and it's not got too slow either.,positive
2351,LAPTOP#GENERAL,I am loving it completely.,positive
2352,LAPTOP#QUALITY,It does make a little noise but that's alright as it's not too much.,neutral
2353,LAPTOP#QUALITY,It doesn't get heated up much even after continuous usage.,positive
2354,MOUSE#DESIGN_FEATURES,"But the  touchpad is soooooooooo big that whenever I am typing, my palm touches some part of it and then the cursor goes somewhere else and it's really annoying.",negative
2355,MOUSE#DESIGN_FEATURES,"I prefer typing without having to see the keyboard but due the large touchpad, i always have to type cautiously as my hand might take me somewhere else.",negative
2356,,HP please fix it.,
2357,MOUSE#DESIGN_FEATURES,A smaller touchpad would make life easier for Computer Science students or IT people much more easier.,negative
2358,LAPTOP#DESIGN_FEATURES,"Uhhhhhh, the computer looks good.",positive
2359,LAPTOP#OPERATION_PERFORMANCE,"But, it works really slowwwwww!!!",negative
2360,LAPTOP#OPERATION_PERFORMANCE,It has got me feel like to take years to successfully open a web page.,negative
2361,LAPTOP#GENERAL,Purchased it for my birthday and love it!,positive
2362,,I've been a loyal Dell user for quite some time.,
2363,,But every six months my Dell computer crashes.,
2364,,"Since I also do a lot of writing and illustrations using Adobe products, I thought I would try a Mac.",
2365,LAPTOP#GENERAL,I'm so glad that I have.,positive
2366,LAPTOP#USABILITY,It's been a very easy transition moving my Windows created files over to the Mac.,positive
2367,LAPTOP#QUALITY,So far I haven't lost any quality or information.,positive
2368,KEYBOARD#USABILITY,I have a little bit of a learning curve with the keyboard shortcuts.,neutral
2369,LAPTOP#QUALITY,"But other than that, I really am loving the quality and speed.",positive
2370,LAPTOP#PRICE,Expensive but worth it.,negative
2371,DISPLAY#QUALITY,The display has a great resolution but have difficulty always seeing the small print.,positive
2372,DISPLAY#USABILITY,Haven't quite figured out how to make the font size larger overall.,neutral
2373,,I'll keep trying however.,
2374,LAPTOP#GENERAL,This is without a doubt the worst laptop I've ever had.,negative
2375,,I wavered between another Toshiba and this and ended up choosing this and I'm so sorry I did.,
2376,LAPTOP#GENERAL,"And of course, the return window closed last week so now, I'm stuck with it.",negative
2377,LAPTOP#GENERAL,I will never buy another Lenovo anything!,negative
2378,MOUSE#GENERAL,"Unless you plan on using a mouse with this laptop, don't buy this.",negative
2379,MOUSE#OPERATION_PERFORMANCE,"The touchpad hasn't worked correctly since delivery though in the beginning, I thought perhaps it was just a bit of a quirk since most touchpads I've worked with have some inherent oddities.",negative
