,aspect,document,sentiment
2304,,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.",
2305,,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,
2306,,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,
2307,,The Macbook is a fantastic laptop.,
2308,,This is the first macbook I have ever had.,
2309,,I came from the Dell Laptops and now I am so glad I switched when I needed a new laptop.,
2310,,The macbooks are small enough to be very portable yet hold tons of information and performance.,
2311,,"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",
2312,,You will love this macbook if you choose to buy it.,
2313,,The macbook rarely requires a hard reboot.,
2314,,It just works flawlessly!,
2315,,Its hard to encounter a problem on a mac that would require such abrupt action.,
2316,,"Dells are ok, HPs aren't that good, but Macs or Fantastic.",
2317,,"I honestly love my mac, thats why I am a self proclaimed mac addict.",
2318,,If you want more information on macs I suggest going to apple.com and heading towards the macbook page for more information on the applications.,
2319,,I'm glad I made the choice to switch and buy this MAC.,
2320,,The benefits were immediate!,
2321,,Awesome graphics!,
2322,,Applications respond immediately (not like the tired MS applications).,
2323,,"I can actually get work done with this MAC, and not fight with it like my tired old PC laptop.",
2324,,The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!,
2325,,"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",
2326,,"After doing CAD work all day at work, using a higher end PC, I couldn't come home and settle for the use of a lower end computer.",
2327,,This laptop rocks (only wish it could run SolidWorks CAD - which Apple doesn't support)!,
2328,,"I've saved a lot of time and headaches so far, using my new MacBook Pro.",
2329,,"I am definitely sold, and not going back to PCs for home use!",
2330,,I've had this laptop for about a month now.,
2331,,It has served my needs quite nicely for the most part.,
2332,,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",
2333,,"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",
2334,,My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,
2335,,"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",
2336,,"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.",
2337,,My MacBook is probably the best investment I have ever made.,
2338,,I have had it for almost four years now and I have only had a few problems with it.,
2339,,"The most recent being that my Safari internet browser is freaking out on me, but I have just been using firefox instead.",
2340,,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.",
2341,,I love this computer.,
2342,,"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",
2343,,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",
2344,,The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,
2345,,Games being the main issue.,
2346,,It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,
2347,,I feel that enough people have Macs these days and that companies need to start making things more compatable than they used to be.,
2348,,Other than that I don't have one complaint in the world!,
2349,,I have used both PCs and Macs and I have to say that I really really love my Mac Book Pro.,
2350,,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",
2351,,Everything from the design to the OS is simple and to the point.,
2352,,LOVE IT LOVE IT LOVE IT!,
2353,,It allows me to do everything I need from a computer and more.,
2354,,"With awesome graphics and assuring security, it's perfect!",
2355,,"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!",
2356,,I'd recommend this laptop to anyone!,
2357,,This is without a doubt the worst laptop I've ever had.,
2358,,I wavered between another Toshiba and this and ended up choosing this and I'm so sorry I did.,
2359,,"And of course, the return window closed last week so now, I'm stuck with it.",
2360,,I will never buy another Lenovo anything!,
2361,,"Unless you plan on using a mouse with this laptop, don't buy this.",
2362,,"The touchpad hasn't worked correctly since delivery though in the beginning, I thought perhaps it was just a bit of a quirk since most touchpads I've worked with have some inherent oddities.",
2363,,"This one however, is now very loose and I have to either tap hard or repeatedly push to click in order for it to work, Then suddenly, I can barely touch it at all and it clicks on its own.",
2364,,"Today, it hasn't worked at all more than it has.",
2365,,The laptop has 4G and a 2.9g processor and it's slower than the four year old Toshiba I replaced.,
2366,,"It hangs, freezes and just isn't working properly.",
2367,,I have now been waiting almost a minute for the computer management window to open!,
2368,,"Though I don't have much installed, I only have 96 of the 278G left!",
